,TITLE,NAME,WAGE,WAGE_DETAIL,Jangyo,Jangyowage,Jangyo_detail,Transp_fee,incen_detail,recruit_point
,【ITエンジニア】_テクノプロ・IT社,株式会社テクノプロ　テクノプロ・IT社,205000,"資格手当はIT系の資格及びTOEICの約70資格を対象に「取得日から3年間」、毎月支給されます。金額：3,000円～30,000円",0,0,,100000,年間3.5か月,TOEIC700点以上保有者
,ゲームアプリのサーバーエンジニア,ココネ株式会社,10,"想定年俸：400万～700万
・年俸制の為、毎月12分の1を支給しています。
・住宅手当込み（試用期間後より支給。またスキルに応じて変動します）
・試用期間終了時にプレゼンを行って頂きます。",45,0,"・残業を45時間以上の残業を行った場合、超過分を支給いたします。
・深夜残業手当有",0,,"- サーバーアプリケーションの設計開発経験
- RDBMSを利用したアプリケーション開発経験
- WEBアプリケーションの開発経験"
,インフラエンジニア,ココネ株式会社,10,"想定年俸：400万～700万
・年俸制の為、毎月12分の1を支給しています。
・住宅手当込み（試用期間後より支給。またスキルに応じて変動します）
・試用期間終了時にプレゼンを行って頂きます。",45,0,"・残業を45時間以上の残業を行った場合、超過分を支給いたします。
・深夜残業手当有",0,,"【必須スキル・経験】
・1年以上のクラウド(AWS,GCP,Alibaba)を利用したインフラの構築・運用経験
・Linuxサーバーの運用知識"
,ゲームアプリのクライアント開発エンジニア,ココネ株式会社,10,"想定年俸：400万～700万
・年俸制の為、毎月12分の1を支給しています。
・住宅手当込み（試用期間後より支給。またスキルに応じて変動します）
・試用期間終了時にプレゼンを行って頂きます。",45,0,"・残業を45時間以上の残業を行った場合、超過分を支給いたします。
・深夜残業手当有",0,,"Unity3d/C＃ 開発経験
簡単なDB設計が可能 
C/C＋＋開発経験
TDDを用いた開発経験"
,Webエンジニア,チームラボ株式会社,230000,,0,0,,200000,,
,2019年度の優秀な人材を招聘します。,株式会社　テクエイヴ,261246,"１、社会保険未加入時は、基本給は226,954になります。
２、住宅手当は会社の宿舎に住まない時、支給する。",20,30000,１、36規定があり、80時間/月、720時間/年を超えてはならない。,0,"業績により、2回/年支給します（10-99万円/年）。
経歴1年以上の社員を対象にする。",採用で優先します。
,即戦力のシステム開発エンジニアの募集,株式会社Asian Bridge,200000,,0,0,通常の残業手当。金額は給与ベースで時間割で計算。,30000,決算賞与。決算状況により支給されない場合あり。（1ヶ月支給が基本）,
,IT未経験からITエンジニアに育てます。,株式会社プラウドデータ,180000,ITスキル・経験に応じて付与,18,22400,,50000,,IT業界での景観を優遇します。
,C.A.S.E関連を始め、最先端の技術にチャレンジ,株式会社エンベックスエデュケーション,214020,,0,20,,0,会社業績により、賞与が支給されます。,
,プログラマー(正社員)／システムエンジニア（正社員）の募集,株式会社ユアソリューションズ,210000,"・家族手当：5,000円
・各種IT資格手当：5,000円～10,000円",20,27400,"・労働基準法に準拠した時間外労働手当を支払います。
・平日通常残業、平日深夜残業、休日通常残業、休日深夜残業の支払いあり。",30000,・年2回（7月、12月）※初年度は試用期間終了後より業績を評価する,・各種IT資格取得報奨金制度あり
,国内ＥＲＰ業界のリーディングカンパニー【ＮＴＴデータグループ企業】,株式会社NTTデータ・ビズインテグラル,219000,"大学卒業：初任給月給219,000円
大学院了：初任給月給250,000円
※2019年新卒",0,0,残業時間に応じて支給,0,"年2回
企業業績・個人業績に応じて支給",
,新人社員の採用,株式会社エー･ケー･プラス,230000,,0,0,年俸制,0,,"LPIC , CCNA,CCNP , AWS関連資格"
,SI&Solution事業部社員募集,株式会社SoftBay,280000,,0,0,,30000,,
,Unityエンジニア（ゲーム開発）,アクセーラ株式会社,270000,,0,0,,25000,,Unityでのゲーム開発経験者を最優先
,2019年エンジニア募集　※実務経験者,FUSIONIA,240000,スキル、経験能力を考慮し決定します。,40,65454,月残業40時間は上記金額に含みます。それ以上の超過分に関しては別途支給。,25000,決算賞与として実績により支給,"①入社日1ヶ月前に日本に来られる方
②下記条件については現在社内で検討中です。もしかしたら下記のようなお願いをすることになるかも知れませんので、ご了承くださいませ。
入社書類として日本在住者の保証人必要(日本在住就業者日本人または日本在住就期間3年以上の外国人)※いない場合は保障会社利用　5年保障15,000円(本人負担)
③ＳＣＩＴマスター成績希望"
,自社パッケージ開発エンジニア,株式会社シンフォー,245000,,45,62762,,30000,個人及び会社の業績による,ITの勉強をしたことがある方
,2020年度採用募集要項,株式会社　ビービー・ネットワーク,231000,"大学院卒  月給 251,000円（①基本給 217,700円(②を除く額）＋②定額残業代 33,300円)
大学・専門4年卒  月給 231,000円（①基本給 200,400円(②を除く額）＋②定額残業代 30,600円）
短大・専門2年卒  月給 214,000円（①基本給 185,600円(②を除く額）＋②定額残業代 28,400円)",20,30600,"※20時間を超える時間外労働分についての割増賃金は追加で支給
20時間超45時間以下：時間外労働手当←基本給／164×1.25
45時間超：時間外労働手当←基本給／164×1.35",50000,2回／年（2ヶ月支給）,
